epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,25062.7,0.11869,0.1174,0.81732,0.98312,0.99719,0.99119,0.98066,0.13285,0.14004,0.61617,0.000319079,0.000319079,0.000319079
74,26613.3,0.11766,0.11588,0.82266,0.98524,0.99567,0.99163,0.98342,0.12609,0.13582,0.61275,0.00030808,0.00030808,0.00030808
75,1500.84,0.11364,0.1082,0.83208,0.98255,0.99773,0.9932,0.98577,0.12563,0.12888,0.61195,0.000297081,0.000297081,0.000297081
76,3026.05,0.11657,0.11079,0.83136,0.9867,0.99548,0.99262,0.98372,0.12887,0.12907,0.61825,0.000286083,0.000286083,0.000286083
77,4562.46,0.11281,0.10804,0.82065,0.98577,0.99567,0.98956,0.98603,0.12617,0.1291,0.61334,0.000275084,0.000275084,0.000275084
78,6166.16,0.11206,0.10728,0.82514,0.98419,0.99609,0.99037,0.9844,0.12831,0.13843,0.61794,0.000264085,0.000264085,0.000264085
79,7762.99,0.1106,0.10496,0.81985,0.98179,0.99567,0.98811,0.98449,0.12212,0.12981,0.60897,0.000253086,0.000253086,0.000253086
80,9355.99,0.11136,0.10144,0.82368,0.98309,0.99611,0.98965,0.98759,0.12602,0.12608,0.61556,0.000242087,0.000242087,0.000242087
81,10933.8,0.10952,0.10307,0.81871,0.98472,0.99614,0.98967,0.98196,0.12346,0.12741,0.62137,0.000231088,0.000231088,0.000231088
82,12503.7,0.10884,0.1049,0.8188,0.98307,0.99773,0.98929,0.98107,0.12543,0.12555,0.61727,0.000220089,0.000220089,0.000220089
83,14059.1,0.10954,0.09884,0.81889,0.98265,0.99773,0.98925,0.98071,0.12141,0.12149,0.61172,0.00020909,0.00020909,0.00020909
84,15631.6,0.10847,0.10448,0.81859,0.9831,0.99567,0.99136,0.98232,0.12426,0.13434,0.61143,0.000198091,0.000198091,0.000198091
85,17207.6,0.1072,0.09978,0.823,0.98389,0.99567,0.99165,0.98359,0.12065,0.12967,0.60918,0.000187092,0.000187092,0.000187092
86,18750.6,0.1061,0.0975,0.81685,0.98513,0.99582,0.9905,0.98256,0.11972,0.12964,0.6097,0.000176094,0.000176094,0.000176094
87,20342.8,0.10829,0.09847,0.81442,0.98309,0.99567,0.99028,0.98733,0.11712,0.12147,0.61128,0.000165095,0.000165095,0.000165095
88,21860.3,0.10411,0.09904,0.82089,0.98478,0.99567,0.98855,0.98635,0.11713,0.11969,0.61052,0.000154096,0.000154096,0.000154096
89,23413.8,0.10134,0.09466,0.82185,0.98565,0.99588,0.99079,0.98868,0.11864,0.11538,0.60909,0.000143097,0.000143097,0.000143097
90,24946.4,0.1015,0.09286,0.81387,0.98739,0.99735,0.98956,0.98608,0.11954,0.12057,0.61461,0.000132098,0.000132098,0.000132098
91,26484.2,0.10134,0.08842,0.80199,0.98703,0.9958,0.99115,0.99031,0.11837,0.1174,0.60819,0.000121099,0.000121099,0.000121099
92,28052.2,0.09844,0.08388,0.79659,0.98582,0.99556,0.991,0.98992,0.11492,0.11259,0.60837,0.0001101,0.0001101,0.0001101
93,29605.5,0.09741,0.0804,0.79639,0.98768,0.99602,0.99171,0.99035,0.11882,0.11303,0.60617,9.91012e-05,9.91012e-05,9.91012e-05
94,31148.7,0.09676,0.08209,0.80231,0.98989,0.99524,0.99174,0.99011,0.11744,0.1088,0.6045,8.81023e-05,8.81023e-05,8.81023e-05
95,32704.1,0.09573,0.07869,0.8024,0.98804,0.99546,0.99156,0.98985,0.11541,0.11541,0.60154,7.71034e-05,7.71034e-05,7.71034e-05
96,34263.1,0.09285,0.07444,0.79288,0.98623,0.99611,0.99144,0.99019,0.11941,0.11199,0.607,6.61045e-05,6.61045e-05,6.61045e-05
97,35803.9,0.09425,0.07683,0.79598,0.98697,0.99576,0.99153,0.99031,0.11757,0.10738,0.60606,5.51056e-05,5.51056e-05,5.51056e-05
98,37367.2,0.08894,0.07289,0.79443,0.9862,0.99722,0.99144,0.99028,0.11651,0.11045,0.60493,4.41067e-05,4.41067e-05,4.41067e-05
99,38921.5,0.08943,0.07323,0.79346,0.9878,0.99761,0.99161,0.99062,0.11392,0.10779,0.60573,3.31078e-05,3.31078e-05,3.31078e-05
100,40448.7,0.08753,0.07164,0.79482,0.98921,0.99747,0.99147,0.99042,0.11342,0.10442,0.60374,2.21089e-05,2.21089e-05,2.21089e-05
